2026-01-19T22:36:20.123355 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:36:20.124093 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:36:20.127311 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:36:20.127422 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:37:20.129898 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:37:20.187534 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:37:20.187747 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:37:20.187789 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:38:20.190687 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:38:20.251061 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:38:20.251269 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:38:20.251328 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:39:20.252991 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:39:20.304672 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:39:20.304945 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:39:20.304997 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:40:20.309563 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:40:20.374122 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:40:20.374366 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:40:20.374423 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:41:20.375907 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:41:20.445542 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:41:20.445780 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:41:20.445885 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:42:20.448152 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:42:20.502293 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:42:20.502529 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:42:20.502600 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:43:00.743235 | INFO     | wrapper      | Server lifespan ending
2026-01-19T22:43:01.019229 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:43:01.405427 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:43:01.405529 | INFO     | wrapper      | Starting MCP Server on localhost:8776
2026-01-19T22:43:01.432608 | INFO     | wrapper      | Server lifespan started
2026-01-19T22:43:01.434726 | INFO     | session_manager | Initialized session manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
